id,sid,time
18367,11502,27050
18367,11402,27059
18367,11403,27066
11462,11300,27070
18367,11404,27073
11462,11301,27079
18367,11405,27080
19027,11504,27080
11462,11302,27086
18367,11306,27087
19027,11404,27089
19627,11504,27090
11462,11403,27093
18367,11307,27094
19027,11305,27096
19627,11404,27099
11462,11404,27100
18367,11308,27101
19027,11306,27103
19627,11305,27106
11462,11305,27108
18367,11309,27108
19027,11307,27110
19627,11306,27113
18367,11310,27115
11462,11306,27116
19027,11308,27117
19627,11307,27120
18367,11411,27122
11462,11307,27124
19027,11309,27124
19627,11308,27127
18367,11410,27129
19027,11310,27131
11462,11408,27132
19627,11309,27134
18367,21411,27138
19027,11411,27138
11462,11308,27139
19627,11310,27141
19027,11410,27145
11462,11309,27146
19627,11411,27148
15367,11502,27150
11462,11310,27153
18367,21410,27154
19027,21411,27154
19627,11410,27155
15367,11402,27159
11462,11411,27160
18367,21309,27161
19627,21411,27164
15367,11403,27166
11462,11410,27167
18367,21208,27168
19027,21410,27170
15367,11404,27173
18367,21109,27175
11462,21411,27176
19027,21310,27177
15367,11305,27180
19627,21410,27180
18367,21009,27182
19027,21210,27184
15367,11306,27187
19627,21310,27187
18367,20908,27189
19027,21109,27191
11462,21410,27192
15367,11307,27194
19627,21209,27194
18367,20809,27196
19027,21009,27198
11462,21309,27199
15367,11308,27201
19627,21109,27201
18367,20709,27203
19027,20909,27205
11462,21209,27206
15367,11309,27208
19627,21009,27208
18367,20710,27210
19027,20809,27212
11462,21109,27213
15367,11310,27215
19627,20909,27215
18367,20610,27217
19027,20709,27219
11462,21009,27220
15670,11502,27220
15367,11411,27222
19627,20809,27222
19027,20710,27226
11462,20909,27227
15367,11410,27229
15670,11402,27229
19627,20709,27229
11462,20809,27234
15670,11403,27236
19627,20710,27236
15367,21411,27238
11462,20709,27241
15670,11404,27243
19627,20611,27243
11462,20710,27248
15670,11305,27250
15367,21410,27254
11462,20610,27256
15670,11306,27257
15367,21310,27261
15670,11407,27264
15367,21210,27268
15670,11408,27271
15367,21109,27275
15670,11309,27278
15367,21009,27282
15670,11310,27285
15367,20909,27289
13982,11502,27290
15670,11411,27292
15367,20809,27296
13982,11402,27299
15670,11410,27299
14819,11300,27300
15367,20709,27303
13982,11403,27306
14819,11301,27308
15670,21411,27308
15367,20710,27310
13982,11404,27313
14819,11302,27315
15367,20711,27318
13982,11405,27320
14825,11502,27320
14819,11403,27322
15670,21410,27324
13982,11306,27327
14819,11404,27329
14825,11402,27329
15670,21309,27331
13982,11307,27334
14819,11305,27336
14825,11403,27336
15670,21209,27338
13982,11208,27341
14819,11306,27343
14825,11404,27343
15670,21109,27345
13982,11309,27348
14819,11307,27350
14825,11305,27350
15670,21009,27352
13982,11310,27355
14819,11308,27357
14825,11306,27357
15670,20909,27359
13982,11411,27362
14819,11309,27364
14825,11307,27364
15670,20809,27366
13982,11410,27369
14819,11310,27371
14825,11308,27371
15670,20709,27373
13982,21411,27378
14819,11311,27378
14825,11309,27378
15670,20710,27380
14819,11411,27385
14825,11310,27385
15670,20711,27387
14819,11410,27392
14825,11411,27392
13982,21410,27394
14825,11410,27399
13982,21309,27401
14819,21411,27401
13982,21209,27408
14825,21411,27408
13982,21109,27415
14819,21410,27417
13982,21009,27422
14819,21309,27424
14825,21410,27424
13982,20909,27429
10196,11502,27430
14819,21209,27431
14825,21309,27431
13982,20809,27436
14819,21109,27438
14825,21209,27438
10196,11402,27439
13982,20709,27443
14819,21009,27445
14825,21109,27445
10196,11403,27446
13982,20710,27450
14819,20909,27452
14825,21009,27452
10196,11404,27453
14819,20809,27459
14825,20909,27459
10196,11405,27460
14819,20709,27466
14825,20809,27466
10196,11406,27467
14819,20710,27473
14825,20709,27473
10196,11407,27474
14819,20711,27480
14825,20710,27480
10196,11308,27481
10196,11309,27488
14825,20610,27488
10196,11310,27495
10196,11411,27502
10196,11410,27509
10196,21411,27518
11251,11502,27520
17054,11300,27520
11251,11402,27529
17054,11301,27529
10196,21410,27534
11251,11403,27536
17054,11302,27536
10196,21309,27541
11251,11404,27543
17054,11403,27543
10196,21209,27548
11251,11305,27550
17054,11404,27550
10196,21109,27555
11251,11306,27557
17054,11305,27557
10196,21009,27562
11251,11307,27564
17054,11306,27564
10196,20909,27569
11251,11308,27571
17054,11307,27571
10196,20809,27576
11251,11309,27578
17054,11308,27578
10196,20709,27583
11251,11310,27585
17054,11309,27585
10196,20710,27590
11251,11311,27592
17054,11310,27592
10196,20610,27598
11251,11411,27599
17054,11411,27599
17516,11504,27600
11251,11410,27606
17054,11410,27607
17516,11404,27608
11251,21411,27615
17516,11305,27615
17054,21411,27616
17516,11306,27622
17516,11307,27629
11251,21410,27631
17054,21410,27632
17516,11408,27636
11251,21310,27638
17054,21310,27640
17516,11309,27643
11251,21210,27645
17054,21209,27648
17516,11310,27650
11251,21209,27652
17054,21109,27655
17516,11411,27657
11251,21109,27660
17054,21009,27662
17516,11410,27664
11251,21009,27668
17054,20909,27669
17516,21411,27673
11251,20909,27676
17054,20809,27676
17054,20709,27683
11251,20809,27684
17516,21410,27689
17054,20710,27690
11251,20709,27691
17516,21310,27696
11251,20710,27698
17054,20611,27698
12573,11504,27700
17516,21209,27703
11251,20711,27707
12573,11404,27709
17516,21109,27710
12573,11405,27716
17516,21009,27717
12573,11306,27723
17516,20909,27724
12573,11307,27730
17516,20809,27731
12573,11308,27737
17516,20709,27738
12573,11309,27744
17516,20710,27745
12573,11310,27751
12573,11411,27758
12573,11410,27765
12573,21411,27774
12573,21410,27790
12573,21310,27797
12573,21210,27804
12573,21109,27811
12573,21009,27818
12573,20909,27825
12573,20809,27832
12573,20709,27839
12573,20710,27846
12573,20611,27854
10164,11300,27900
10164,11301,27909
15801,11502,27910
10164,11302,27916
15801,11402,27918
13300,11300,27920
10164,11403,27923
15801,11403,27925
13300,11301,27928
10164,11404,27930
15801,11404,27932
13300,11302,27935
10164,11405,27937
15801,11305,27939
13300,11403,27942
10164,11306,27944
15801,11306,27946
13300,11404,27949
10164,11307,27951
15801,11307,27953
13300,11305,27956
10164,11308,27958
15801,11308,27960
13300,11306,27963
10164,11309,27965
15801,11309,27967
13300,11307,27970
10164,11310,27972
15801,11310,27974
13300,11308,27977
10164,11411,27979
15801,11411,27981
13300,11409,27984
10164,11410,27986
15801,11410,27988
13300,11310,27991
10164,21411,27995
15801,21411,27997
13300,11411,27998
13300,11410,28005
10164,21410,28011
15801,21410,28013
13300,21411,28014
10164,21310,28018
15801,21309,28020
10164,21209,28025
15801,21209,28027
13300,21410,28030
10164,21109,28032
15801,21108,28034
13300,21409,28037
10164,21009,28039
15801,21009,28041
13300,21309,28044
10164,20909,28046
15801,20909,28048
13339,11502,28050
13300,21210,28051
10164,20809,28053
15801,20809,28055
13300,21109,28058
13339,11402,28059
10164,20709,28060
15801,20709,28062
13300,21009,28065
13339,11403,28066
10164,20710,28067
15801,20710,28069
18347,11502,28070
13300,20909,28072
13339,11404,28073
10164,20711,28075
13300,20809,28079
18347,11402,28079
13339,11305,28080
18689,11502,28080
13300,20709,28086
13339,11306,28087
18347,11403,28087
18689,11402,28089
13300,20710,28093
13339,11307,28094
18347,11404,28095
18689,11403,28096
13339,11308,28101
18347,11405,28103
18689,11404,28103
13339,11309,28108
18689,11305,28110
18347,11306,28111
13339,11310,28115
18689,11306,28117
