id,sid,time
11396,11502,25240
11396,11402,25249
11396,11403,25256
11396,11404,25263
11396,11405,25270
11396,11306,25277
11396,11307,25284
11396,11308,25291
11396,11309,25298
11396,11310,25305
11396,11411,25312
11396,11410,25319
15367,11300,25320
11396,21411,25328
15367,11301,25329
15367,11302,25336
15367,11403,25343
11396,21410,25344
15367,11404,25350
11396,21310,25351
15367,11405,25357
11396,21209,25358
15367,11406,25364
11396,21109,25365
15367,11307,25371
11396,21009,25372
15367,11308,25378
11396,20909,25379
16111,11502,25380
15367,11309,25385
11396,20809,25386
16111,11402,25389
15367,11310,25392
11396,20709,25393
16111,11403,25396
15367,11411,25399
11396,20710,25400
16111,11404,25403
15367,11410,25406
11396,20610,25407
16111,11305,25410
15367,21411,25415
16111,11306,25417
16111,11307,25424
10196,11502,25430
15367,21410,25431
16111,11308,25431
15367,21310,25438
16111,11309,25438
10196,11402,25439
15367,21209,25445
16111,11310,25445
10196,11403,25446
15800,11504,25450
15367,21109,25452
16111,11411,25452
10196,11404,25453
15800,11404,25458
15367,21009,25459
16111,11410,25459
10196,11305,25460
15800,11405,25465
15367,20908,25466
10196,11306,25467
16111,21411,25468
15800,11306,25472
15367,20809,25473
10196,11307,25474
15800,11307,25479
15367,20709,25480
10196,11308,25481
16111,21410,25484
15800,11308,25486
15367,20710,25487
10196,11309,25488
16111,21310,25491
15800,11309,25493
15367,20610,25494
10196,11310,25495
16111,21209,25498
15800,11310,25500
10196,11411,25502
16111,21109,25505
15800,11411,25507
10196,11410,25509
16111,21009,25512
15800,11410,25514
10196,21411,25518
16111,20909,25519
15800,21411,25523
16111,20809,25526
11462,11504,25530
16111,20709,25533
10196,21410,25534
11462,11404,25539
15800,21410,25539
16111,20710,25540
10196,21309,25541
11462,11405,25546
15800,21310,25546
16111,20611,25547
10196,21209,25548
11462,11306,25553
15800,21210,25553
10196,21109,25555
11462,11307,25560
15800,21109,25560
10196,21009,25562
11462,11308,25567
15800,21009,25567
10196,20909,25569
11462,11309,25574
15800,20909,25574
10196,20809,25576
11462,11310,25581
15800,20809,25581
10196,20709,25583
11462,11411,25588
15800,20709,25588
10196,20710,25590
11462,11410,25595
15800,20710,25595
10196,20610,25597
15800,20611,25602
11462,21411,25604
11462,21410,25620
11462,21309,25627
11462,21208,25634
13300,11502,25640
11462,21109,25641
11462,21008,25648
13300,11402,25649
11462,20907,25655
13300,11403,25656
11462,20808,25662
13300,11404,25663
11462,20709,25669
12856,11300,25670
13300,11405,25670
11462,20710,25676
13300,11306,25677
12856,11301,25678
11462,20610,25683
12856,11302,25684
13300,11307,25684
12856,11403,25690
13300,11408,25691
12856,11404,25696
13300,11308,25698
12856,11405,25702
13300,11309,25705
12856,11406,25708
13300,11310,25712
12856,11307,25714
13300,11411,25719
12856,11308,25720
12856,11309,25726
13300,11410,25726
12856,11310,25732
13300,21411,25735
12856,11411,25738
12856,11410,25744
13300,21410,25751
12856,21411,25753
13300,21310,25758
13300,21209,25765
12856,21410,25769
13300,21109,25772
12856,21310,25775
13300,21009,25779
12856,21210,25781
13300,20909,25786
12856,21109,25787
12856,21009,25793
13300,20809,25793
12856,20909,25799
11876,11300,25800
13300,20709,25800
12856,20809,25805
13300,20710,25807
11876,11301,25809
12856,20709,25811
13300,20711,25814
11876,11302,25816
12856,20710,25817
11876,11403,25823
12856,20711,25823
11876,11404,25830
11876,11405,25837
11876,11306,25844
11876,11307,25851
11876,11308,25858
10164,11502,25860
11876,11309,25865
10164,11402,25868
11876,11310,25872
10164,11403,25875
11876,11311,25879
10164,11404,25882
11876,11411,25886
